smiles,homo
COC(=O)N,-0.2669
C(C(=O)N)O,-0.246
[NH3+]CC([O-])=O,-0.2527
CC(C)CO,-0.2629
CC(O)CO,-0.2597
CCC(C)C,-0.3085
CCC(C)O,-0.2617
CC(C)OC,-0.2476
CC1(CC1)C,-0.2633
CC1(CO1)C,-0.2596
CC1(CC1)O,-0.2494
N=C1CCO1,-0.263
C1CC(=O)C1,-0.2415
C1CNC1=O,-0.25
C1COC1=O,-0.2788
C1C(=O)CN1,-0.2437
C1C(=O)CO1,-0.2647
CC1CCC1,-0.2896
CC1CCO1,-0.241
CC1COC1,-0.2419
C1CC(C1)O,-0.256
C1C(CO1)O,-0.2465
CC1CC1C,-0.2632
CC1CC1O,-0.2518
CC1CN1C,-0.2199
CC1OC1C,-0.2573
OC1CC1O,-0.2369
C1C2CC1C2,-0.2974
C1C2CC1O2,-0.2352
C#CCC#C,-0.2633
C#CCC#N,-0.2911
C(C#N)C#N,-0.3494
C#CCC=O,-0.2583
C(C=O)C#N,-0.2868
C(=N)NC=O,-0.2491
N=COC=O,-0.2934
C(=O)NC=O,-0.2608
CC#CC#C,-0.242
CC#CC#N,-0.2871
CC#CC=O,-0.2642
CC#CCO,-0.2421
CCC#CC,-0.2401
CN=COC,-0.2481
CCCC#C,-0.2586
CCCC#N,-0.3185
CNCC#N,-0.249
COCC#C,-0.2565
COCC#N,-0.2859
C#CCCO,-0.2624
C(CO)C#N,-0.2914
CCCC=O,-0.2487
CCNC=O,-0.2499
CCOC=O,-0.2778
COCC=O,-0.2577
C(CO)C=O,-0.2536
CCCCC,-0.3105
CCCCO,-0.2615
CCCOC,-0.25
CCOCC,-0.2483
COCCO,-0.261
C(CO)CO,-0.2607
C#CC1CC1,-0.2425
C#CC1CN1,-0.2422
C#CC1CO1,-0.265
C1CC1C#N,-0.2931
N#CC1CN1,-0.2775
N#CC1CO1,-0.3077
C1CC1C=O,-0.2486
O=CC1CN1,-0.2639
O=CC1CO1,-0.2636
C1CN1C=O,-0.2555
CCC1CC1,-0.2723
CCC1CO1,-0.2623
CCN1CC1,-0.2299
COC1CC1,-0.244
C1CC1CO,-0.2601
OCC1CN1,-0.2436
OCC1CO1,-0.2641
C1CC=CC1,-0.2335
C1COC=N1,-0.2479
C1C=CCO1,-0.2303
C1CCCC1,-0.3078
C1CCOC1,-0.2479
C1COCO1,-0.2572
C1C2CCC12,-0.2519
C1C2COC12,-0.2337
C1CC2OC12,-0.2517
c1c[nH]nc1,-0.2438
c1cnn[nH]1,-0.2641
c1[nH]ncn1,-0.2705
c1[nH]cnn1,-0.2551
c1cn[nH]n1,-0.2742
c1cnoc1,-0.2677
c1conn1,-0.2862
c1ncon1,-0.3054
c1nnco1,-0.2889
c1nnno1,-0.331
c1cnon1,-0.3213
c1nnon1,-0.3379
n1nnon1,-0.3671
CC(=NO)C#C,-0.2383
CC(=NO)CO,-0.2502
CCC(=NO)C,-0.239
C1CC(=NO)C1,-0.2405
C1C(=NO)CN1,-0.23
C1C(=NO)CO1,-0.2498
C(F)(F)(F)F,-0.4286
N=C1NC=CO1,-0.1947
N=C1OC=CO1,-0.2262
c1c[nH]c(=O)[nH]1,-0.1951
c1coc(=O)[nH]1,-0.2215
c1coc(=O)o1,-0.253
Cc1ccc[nH]1,-0.1934
Cc1ccco1,-0.2124
Cc1cnco1,-0.2364
Cc1ncco1,-0.2371
c1cc([nH]c1)N,-0.185
c1cc(oc1)N,-0.1844
c1c(ocn1)N,-0.2049
c1coc(n1)N,-0.2088
c1cc([nH]c1)O,-0.1814
c1c([nH]cn1)O,-0.2022
c1cnc([nH]1)O,-0.2051
Cc1cc[nH]c1,-0.1982
Cc1c[nH]cn1,-0.2157
Cc1ccoc1,-0.2183
Cc1cocn1,-0.2395
c1c[nH]cc1N,-0.1741
c1c(nc[nH]1)N,-0.1849
c1cocc1N,-0.1947
c1c(nco1)N,-0.2057
c1c[nH]cc1O,-0.1864
c1c(nc[nH]1)O,-0.2006
c1c(nco1)O,-0.2242
Cn1cccc1,-0.2006
Cn1ccnc1,-0.2216
c1ccccc1,-0.2475
c1ccncc1,-0.2518
c1cnccn1,-0.2493
c1cncnc1,-0.2531
c1ncncn1,-0.2768
CC(C)(C)C#C,-0.2585
CC(C)(C)C#N,-0.3156
CC(C)(C#N)N,-0.2675
CC(C)(C#C)O,-0.2589
CC(C)(C#N)O,-0.2931
CC(C)(C)C=O,-0.247
CC(C)(C=O)O,-0.2523
CC(C)(C)CO,-0.2638
CC(C)(CO)O,-0.2619
CCC(C)(C)C,-0.3031
CCC(C)(C)O,-0.2601
CC(C)(C)OC,-0.2455
CC#CC(=O)C,-0.2532
CC#CC(=O)N,-0.2502
CC#CC(C)C,-0.2404
CC#CC(C)O,-0.2492
CC(=O)CC#C,-0.246
CC(=O)CC#N,-0.274
C#CCC(=O)N,-0.2498
C(C#N)C(=O)N,-0.2741
CC(=N)NC=O,-0.2611
CC(=N)OC=O,-0.2723
CC(=O)CC=O,-0.2505
CC(=O)NC=N,-0.2397
CC(=O)NC=O,-0.2511
CC(=O)OC=N,-0.2768
C(=O)NC(=N)N,-0.2336
C(C=O)C(=O)N,-0.2502
C(=N)NC(=O)N,-0.2443
C(=O)NC(=O)N,-0.2548
NC(=O)OC=N,-0.2743
CC(C)CC#C,-0.259
CC(C)CC#N,-0.3161
CC(O)CC#C,-0.2622
CC(O)CC#N,-0.2866
CN(C)CC#N,-0.2371
CC(C)CC=O,-0.2481
CC(C)NC=O,-0.2484
CC(C)OC=O,-0.2748
CC(O)CC=O,-0.2437
CN(C)CC=O,-0.2267
CC(=O)CCO,-0.2458
CCCC(=O)C,-0.2415
CCCC(=O)N,-0.243
CCNC(=O)C,-0.2402
CCNC(=O)N,-0.2427
CCOC(=O)C,-0.2654
CCOC(=O)N,-0.2644
C[NH2+]CC([O-])=O,-0.2494
CC(=O)COC,-0.2449
COCC(=O)N,-0.2464
C(CO)C(=O)N,-0.2471
[NH3+]CCC([O-])=O,-0.167
CC(C)CCO,-0.2613
CC(O)CCO,-0.2583
CCCC(C)C,-0.3042
CCCC(C)O,-0.2613
CCOC(C)C,-0.2458
CC(C)COC,-0.2508
COCC(C)O,-0.2581
CC(=O)C(=O)C,-0.2408
CC(=O)C(=N)N,-0.2483
CC(=O)C(=O)N,-0.2416
NC(=[NH2+])C([O-])=O,-0.2349
C(=O)(C(=O)N)N,-0.2422
CC(C)C(=O)C,-0.2389
CC(C)C(=O)N,-0.2409
CC([NH3+])C([O-])=O,-0.251
CC(O)C(C)=O,-0.263
CC(O)C(N)=O,-0.26
CC(=O)N(C)C,-0.2342
CN(C)C(=O)N,-0.2306
CC(C)C(C)C,-0.3016
CC(C)C(C)O,-0.2613
CC(O)C(C)O,-0.2564
CC1(CCC1)C,-0.2837
CC1(CCO1)C,-0.2392
CC1(COC1)C,-0.2425
CC1(CCC1)O,-0.2526
CC1(COC1)O,-0.246
CC1(C)CC1O,-0.2497
CC1(O)CC1O,-0.2427
CC1CC1(C)C,-0.2558
CC1CC1(C)O,-0.2458
CC1OC1(C)C,-0.2545
CC1(CN1C)C,-0.219
CC1CC(=N)O1,-0.2598
CC1CC(=O)C1,-0.2394
CC1CC(=O)N1,-0.2465
CC1CC(=O)O1,-0.2737
CN1CC(=O)C1,-0.2304
C1C(CC1=O)O,-0.242
CC1CC(C)C1,-0.2832
CC1CC(C)O1,-0.2399
CC1CC(O)C1,-0.253
CN1CC(C1)O,-0.2196
OC1CC(O)C1,-0.2525
CC12CC(C1)C2,-0.2934
CC12CC(C1)O2,-0.2307
CC12CN(C1)C2,-0.2257
OC12CC(C1)C2,-0.2587
OC12CN(C1)C2,-0.2445
C#CC(=O)C#C,-0.28
C#CC(=O)C#N,-0.3156
C(#N)C(=O)C#N,-0.3538
C#CC(=O)C=O,-0.2672
C(=O)C(=O)C#N,-0.2978
C(=O)C(=O)C=O,-0.2606
CC(C#C)C#C,-0.2622
CC(C#C)C#N,-0.2879
CC(C#N)C#N,-0.3433
NC(C#C)C#N,-0.2798
C(#N)C(C#N)N,-0.3037
C#CC(C#C)O,-0.2708
OC(C#C)C#N,-0.3019
C(#N)C(C#N)O,-0.3463
CC(C=O)C#C,-0.2536
CC(C=O)C#N,-0.2801
OC(C=O)C#C,-0.2709
OC(C=O)C#N,-0.3073
CC(C=O)C=O,-0.2559
CN(C=N)C=O,-0.2595
CN(C=O)C=O,-0.2725
C(=O)C(C=O)O,-0.2649
CN=C(C#N)N,-0.2622
CN=C(C=O)N,-0.2476
CCC(=O)C#C,-0.264
CCC(=O)C#N,-0.2976
CNC(=N)C#N,-0.2527
CNC(=O)C#C,-0.2591
COC(=O)C#C,-0.2806
COC(=O)C#N,-0.3197
C#CC(=O)CO,-0.2661
C(C(=O)C#N)O,-0.3004
CCC(=O)C=O,-0.2515
CNC(=N)C=O,-0.2388
CNC(=O)C=O,-0.2505
COC(=O)C=O,-0.2683
C(C(=O)C=O)O,-0.2516
CCC(=O)CC,-0.2412
CCC(=O)CO,-0.2429
CCC(=O)NC,-0.2422
CCC(=O)OC,-0.268
CNC(=O)CO,-0.2433
CNC(=O)NC,-0.2383
CNC(=O)OC,-0.2496
COC(=O)CN,-0.2466
COC(=O)CO,-0.2705
C(C(=O)CO)O,-0.2447
CC(=NC)OC,-0.2427
CC(CO)C#C,-0.2613
CC(CO)C#N,-0.2896
CCC(C)C#C,-0.2575
CCC(C)C#N,-0.3144
CCC(N)C#N,-0.2695
CCC(O)C#C,-0.2649
CCC(O)C#N,-0.3028
CNC(C)C#N,-0.2424
COC(C)C#C,-0.2538
COC(C)C#N,-0.2865
NC(CO)C#N,-0.2619
NCC(N)C#N,-0.2534
NCC(O)C#N,-0.2549
OCC(O)C#C,-0.2624
OCC(O)C#N,-0.2878
CC(CO)C=O,-0.2523
CCC(C)C=O,-0.2451
CCC(O)C=O,-0.2736
CCN(C)C=O,-0.2407
COC(C)C=O,-0.2545
OCC(O)C=O,-0.2662
CC(CO)CO,-0.2607
CCC(C)CC,-0.303
CCC(C)CO,-0.2625
CCC(C)OC,-0.248
CCC(CC)O,-0.2621
CCC(O)CO,-0.256
COC(C)CO,-0.2545
C(C(CO)O)O,-0.2606
CC1(CC1)C#C,-0.24
CC1(CC1)C#N,-0.2853
CC1(CN1)C#C,-0.2444
CC1(CN1)C#N,-0.2743
CC1(CO1)C#C,-0.2616
CC1(CO1)C#N,-0.3007
C1CC1(C#N)N,-0.2722
C#CC1(CC1)O,-0.2424
C1CC1(C#N)O,-0.2828
CC1(CC1)C=O,-0.2482
CC1(CN1)C=O,-0.2483
CC1(CO1)C=O,-0.2592
C1CC1(C=O)O,-0.2519
CC1(CC1)CO,-0.2616
CC1(CO)CN1,-0.2463
CC1(CO)CO1,-0.2611
CCC1(CC1)C,-0.2627
CCC1(C)CO1,-0.2587
CCC1(CC1)O,-0.2519
CC1(CC1)OC,-0.245
C1CC1(CO)O,-0.2421
CC1CCC1=O,-0.2374
CC1CNC1=O,-0.2452
CC1COC1=N,-0.2615
CC1COC1=O,-0.2726
CC1NCC1=O,-0.2421
CC1OCC1=O,-0.2575
CN1CCC1=O,-0.2414
NC1COC1=N,-0.2491
NC1COC1=O,-0.2481
OC1CCC1=O,-0.2509
OC1CNC1=O,-0.2475
OC1COC1=N,-0.2717
OC1COC1=O,-0.2674
CC1CCC1C,-0.2822
CC1CCC1O,-0.2522
CC1COC1C,-0.2398
CC1OCC1O,-0.2442
OC1CCC1O,-0.2476
N=C1CN=CN1,-0.2323
C1C=CCC1=O,-0.2409
C1C=CNC1=O,-0.2165
C1C(=O)NC=N1,-0.25
C1C(=O)OC=N1,-0.2793
N=C1OCC=C1,-0.2462
C1CC(=O)C=C1,-0.2366
C1C=CC(=O)N1,-0.2428
N=C1CCCO1,-0.2549
N=C1COCO1,-0.272
N=C1OCCO1,-0.2556
C1CCC(=O)C1,-0.235
C1CC(=O)NC1,-0.237
C1CC(=O)OC1,-0.2646
C1COCC1=O,-0.2439
C1C(=O)OCO1,-0.2775
C1CNC(=O)N1,-0.2457
C1COC(=O)N1,-0.2632
C1COC(=O)O1,-0.2935
CC1=CCCC1,-0.2238
CC1=CCOC1,-0.2252
CC1=NCCO1,-0.2399
CC1CC=CC1,-0.2335
CC1CN=CO1,-0.246
OC1CC=CC1,-0.2461
CC1CCC=C1,-0.2341
CC1COC=N1,-0.2473
CC1OCC=C1,-0.2302
OC1CCC=C1,-0.2491
CC1CCCC1,-0.3044
CC1CCCO1,-0.2379
CC1CCOC1,-0.2381
CC1COCO1,-0.2502
CC1OCCO1,-0.2542
C1CCC(C1)O,-0.2601
OC1CCOC1,-0.2428
CC1C(C)C1C,-0.2571
CC1C(C)C1O,-0.2441
CC1C(C)N1C,-0.2104
CC1C(O)C1O,-0.2301
OC1C(O)C1O,-0.2552
CC12CC1CC2,-0.243
CC12CC1CO2,-0.2287
CC12CC1OC2,-0.2293
CC12CCC1O2,-0.2442
OC12CC1CC2,-0.2475
OC12CC1OC2,-0.2318
C#CC#CC#C,-0.2465
C#CC#CC#N,-0.284
C(#CC#N)C#N,-0.3277
C#CCCC#C,-0.2615
C#CCCC#N,-0.2821
C(CC#N)C#N,-0.3397
C#CC#CC=O,-0.275
C(=O)C#CC#N,-0.3053
C(=O)C#CC=O,-0.2894
N=COCC#C,-0.2698
N=COCC#N,-0.2899
C#CCCC=O,-0.2549
C(CC#N)C=O,-0.274
C#CCNC=O,-0.2561
C(C#N)NC=O,-0.2788
C#CCOC=O,-0.2819
C(C#N)OC=O,-0.3057
N=COCC=O,-0.2626
C(CC=O)C=O,-0.2578
C(C=O)NC=O,-0.2579
C(C=O)OC=O,-0.2773
CC#CC#CC,-0.2265
CC#CCC#C,-0.2479
CC#CCC#N,-0.2693
CC#CCC=O,-0.2463
CN=CNC=O,-0.2408
CN=COC=O,-0.2771
CCC#CC#C,-0.2405
CCC#CC#N,-0.2842
C#CC#CCO,-0.2442
C(C#CC#N)O,-0.2849
CCC#CC=O,-0.2632
C(C#CC=O)O,-0.2682
CCC#CCC,-0.239
CCC#CCO,-0.2418
C(C#CCO)O,-0.2515
CCN=COC,-0.2447
CC#CCCO,-0.2431
CCCC#CC,-0.2397
CC#CCOC,-0.2424
CCOC=NC,-0.2456
CCCCC#C,-0.2579
CCCCC#N,-0.3164
CCNCC#N,-0.2476
CCOCC#C,-0.2547
CCOCC#N,-0.2825
COCCC#C,-0.2584
COCCC#N,-0.2751
C#CCCCO,-0.2594
C(CC#N)CO,-0.282
CCCCC=O,-0.248
CCCNC=O,-0.2492
CCCOC=O,-0.2771
CCOCC=O,-0.2564
COCCC=O,-0.2544
C(CC=O)CO,-0.2512
C(CO)NC=O,-0.2477
OCCOC=N,-0.27
C(COC=O)O,-0.281
CCCCCC,-0.3039
CCCCCO,-0.2614
CCCCOC,-0.2496
CCCOCC,-0.2481
CCOCCO,-0.2599
COCCCO,-0.2515
COCCOC,-0.2512
C(CCO)CO,-0.2614
C#CC1CCC1,-0.2544
C#CC1CCO1,-0.2535
C#CC1COC1,-0.2533
C1CC(C1)C#N,-0.3085
N#CC1CCN1,-0.2526
N#CC1CCO1,-0.2807
C1C(CO1)C#N,-0.2731
C1CC(C1)C=O,-0.2459
O=CC1CCO1,-0.2487
C1C(CO1)C=O,-0.2557
C1CN(C1)C=O,-0.2396
CN=C1CCO1,-0.2475
CCC1CCC1,-0.2855
CCC1CCO1,-0.2406
CCC1COC1,-0.2416
COC1CCC1,-0.2445
COC1COC1,-0.247
C1CC(C1)CO,-0.2613
OCC1CCO1,-0.2475
C1C(CO1)CO,-0.2432
C#CCC1CC1,-0.2584
C#CCC1CO1,-0.2611
C#CCN1CC1,-0.239
C1CC1CC#N,-0.3029
N#CCC1CN1,-0.2641
N#CCC1CO1,-0.2893
C1CN1CC#N,-0.2611
N=COC1CC1,-0.2588
C1CC1CC=O,-0.2458
O=CCC1CN1,-0.2489
O=CCC1CO1,-0.2535
C1CN1CC=O,-0.2497
C1CC1NC=O,-0.2469
C1CC1OC=O,-0.2762
CC#CC1CC1,-0.2264
CC#CC1CN1,-0.229
CC#CC1CO1,-0.2473
CCCC1CC1,-0.2707
CCCC1CO1,-0.2621
CCCN1CC1,-0.2296
CCOC1CC1,-0.2424
COCC1CC1,-0.2495
COCC1CN1,-0.2447
COCC1CO1,-0.2579
C1CC1CCO,-0.2617
OCCC1CO1,-0.2659
C1CN1CCO,-0.2447
CC1CC1C#C,-0.24
CC1CC1C#N,-0.2867
CC1NC1C#C,-0.2454
CC1NC1C#N,-0.2776
CC1OC1C#C,-0.2601
CC1OC1C#N,-0.2985
CN1CC1C#C,-0.2293
CN1CC1C#N,-0.2579
OC1CC1C#C,-0.2506
OC1CC1C#N,-0.278
CC1CC1C=O,-0.2446
CC1CN1C=O,-0.2505
CC1NC1C=O,-0.2482
CC1OC1C=O,-0.2601
CN1CC1C=O,-0.2353
OC1CC1C=O,-0.2437
CC1CC1CO,-0.2572
CC1NC1CO,-0.2467
CC1OC1CO,-0.2622
CCC1CC1C,-0.263
CCC1CC1O,-0.2517
CCC1CN1C,-0.22
CCC1OC1C,-0.2567
CCN1CC1C,-0.2199
CN1CC1CO,-0.2232
COC1CC1C,-0.2416
COC1CC1O,-0.2289
OCC1CC1O,-0.25
CC(=O)C1CC1,-0.2425
CC(=O)C1CN1,-0.257
CC(=O)C1CO1,-0.251
CC(=O)N1CC1,-0.2455
C1CC1C(=O)N,-0.2454
NC(=O)C1CN1,-0.2521
NC(=O)C1CO1,-0.2507
C1CN1C(=O)N,-0.2459
CC(C)C1CC1,-0.2725
CC(C)C1CO1,-0.2618
CC(C)N1CC1,-0.2299
CC(O)C1CC1,-0.2585
CC(O)C1CN1,-0.2355
CC(O)C1CO1,-0.265
C1CC2(C1)CC2,-0.2618
C1CC12CCO2,-0.224
C1CC12COC2,-0.241
C1C2(N1)COC2,-0.2449
C1CC2(C1)CO2,-0.2579
C1C2(CO1)CO2,-0.2554
C1C2CC1C=C2,-0.2223
C1C2OC1C=C2,-0.2346
C1C2CC1CC2,-0.2957
C1C2CC1OC2,-0.2355
C1C2CCC1O2,-0.2427
CC1C2CC1C2,-0.2892
CC1C2CC1O2,-0.2338
OC1C2CC1C2,-0.2526
OC1C2CC1O2,-0.2388
C1COCC=C1,-0.2427
C1CCC=CC1,-0.2343
C1CN=COC1,-0.2453
C1CCCCC1,-0.2913
C1CCOCC1,-0.2429
C1COCCO1,-0.2351
C1COCOC1,-0.2601
C1CC2CCC12,-0.2634
C1CC2OCC12,-0.2393
C1OC2COC12,-0.2484
CC1C2CCC12,-0.2481
CC1C2COC12,-0.2325
OC1C2CCC12,-0.2452
OC1C2COC12,-0.2374
C1C2CC=CC12,-0.2245
C1C2OC=NC12,-0.2458
C1C=CC2NC12,-0.2299
C1C=CC2OC12,-0.2454
C1C2CCCC12,-0.2611
C1C2CCOC12,-0.2271
C1C2COCC12,-0.2482
C1C2OCOC12,-0.2313
C1CC2OC2C1,-0.2561
C1OCC2NC12,-0.2391
C1OCC2OC12,-0.2557
N=C1OC2CC12,-0.2622
O=C1CC2CC12,-0.2407
O=C1CC2CN12,-0.25
O=C1CC2NC12,-0.2405
O=C1CC2OC12,-0.2489
O=C1CN2CC12,-0.2495
O=C1NC2CC12,-0.2475
O=C1OC2CC12,-0.2803
CC1CC2CC12,-0.2504
CC1CC2OC12,-0.2504
CC1OC2CC12,-0.2317
OC1CC2CC12,-0.25
OC1CC2NC12,-0.2377
OC1CC2OC12,-0.2521
OC1CN2CC12,-0.235
C1C2C3CC2C13,-0.2893
C1C2C3CN2C13,-0.2293
C1C2C3OC2C13,-0.2321
N1C2C3NC2C13,-0.2251
N1C2C3OC2C13,-0.2396
O1C2C3OC2C13,-0.2495
C1CC1C2CC2,-0.2473
C1CC1C1CO1,-0.2596
C1CC1N2CC2,-0.2188
C1NC1C1CN1,-0.2328
C1NC1C1CO1,-0.2493
C1OC1C1CO1,-0.2647
C1C2C1C1CC21,-0.2073
C1C2C1C1NC21,-0.2059
C1C2C1C1OC21,-0.2318
C1C2C1N1CC21,-0.2206
N1C2C1C1NC21,-0.2009
N1C2C1C1OC21,-0.2233
O1C2C1C1OC21,-0.256
C1C2C3C1CN23,-0.2359
C1C2C3CC1C23,-0.2442
C1C2C3CC1N23,-0.2409
C1C2C3CN1C23,-0.2238
C1C2C3OC1C23,-0.2298
C12C3C1C1C2C31,-0.2242
C12C3C1N1C2C31,-0.2152
c1ccnnc1,-0.2329
c1cnnnc1,-0.2556
c1nncnn1,-0.2475
c1ncnnn1,-0.2631
c1cnnnn1,-0.2639
Cc1ccn[nH]1,-0.2317
Cc1ccno1,-0.2527
Cc1cnn[nH]1,-0.251
Cc1cnno1,-0.2707
Cc1c[nH]nc1,-0.2321
Cc1c[nH]nn1,-0.2499
Cc1cnoc1,-0.2549
Cc1conn1,-0.2697
Cc1[nH]ncn1,-0.2565
Cc1ncno1,-0.2874
Cc1cc[nH]n1,-0.2393
Cc1nc[nH]n1,-0.2566
Cc1cn[nH]n1,-0.2584
Cc1n[nH]nn1,-0.2882
Cc1ccon1,-0.2618
Cc1ncon1,-0.2916
Cc1cnon1,-0.3017
Cc1nnon1,-0.3198
Cn1cccn1,-0.2378
Cn1ccnn1,-0.2576
Cn1cncn1,-0.2624
Cn1cnnc1,-0.2491
Cn1cnnn1,-0.2827
Cn1nccn1,-0.2587
Cn1ncnn1,-0.2907
Cn1nnnn1,-0.3198
N=C1NC=NO1,-0.2313
N=C1NN=NN1,-0.2243
N=C1OC=NO1,-0.2634
N=C1ON=NO1,-0.2947
c1cn[nH]c1N,-0.206
c1cnoc1N,-0.218
c1c([nH]nn1)N,-0.2234
c1c(onn1)N,-0.2338
c1c(cn[nH]1)N,-0.1956
c1c(nn[nH]1)N,-0.2126
c1c(con1)N,-0.2186
c1c(nno1)N,-0.2311
c1nc([nH]n1)N,-0.2268
c1nc(on1)N,-0.2475
c1c[nH]nc1N,-0.2006
c1[nH]nc(n1)N,-0.2143
c1c(n[nH]n1)N,-0.2181
c1(n[nH]nn1)N,-0.2385
c1conc1N,-0.2328
c1nc(no1)N,-0.2447
c1c(non1)N,-0.2516
c1(nnon1)N,-0.2663
c1[nH]c(=O)[nH]n1,-0.2283
c1[nH]c(=O)on1,-0.2655
c1(=O)[nH]nn[nH]1,-0.261
c1(=O)[nH]nno1,-0.2987
c1noc(=O)o1,-0.2998
c1(=O)onno1,-0.3348
c1cn[nH]c1O,-0.2185
c1c(cn[nH]1)O,-0.2132
c1c(nn[nH]1)O,-0.2326
c1nc([nH]n1)O,-0.2453
c1c[nH]nc1O,-0.2207
c1[nH]nc(n1)O,-0.2392
c1c(n[nH]n1)O,-0.2405
c1(n[nH]nn1)O,-0.269
c1conc1O,-0.2581
c1nc(no1)O,-0.2744
c1(nnon1)O,-0.3005
CC#CC(=NO)C,-0.2248
CC(=NO)CC#C,-0.2492
CC(=NO)CC#N,-0.2661
CC(=NO)CC=O,-0.2459
CC(=NO)CCO,-0.2419
CCCC(=NO)C,-0.2382
CC(=NO)COC,-0.2497
CC(=NO)C(=NO)C,-0.2278
CC(=NO)C(=O)N,-0.2537
CC(C)C(=NO)C,-0.2393
CC(O)C(C)=NO,-0.2437
CC1CC(C1)=NO,-0.2394
CN1CC(=NO)C1,-0.2202
ON=C1CC(O)C1,-0.2421
C#CC(=NO)C#C,-0.2418
CCC(=NO)C#C,-0.2383
C#CC(=NO)CO,-0.237
CCC(=NO)CC,-0.2392
CCC(=NO)CO,-0.2503
CC1CCC1=NO,-0.24
CC1NCC1=NO,-0.2291
CC1OCC1=NO,-0.2477
ON=C1CCC1O,-0.2503
C1C=CCC1=NO,-0.2347
C1CC(=NO)C=C1,-0.2178
C1C(=NO)C=CN1,-0.1873
C1CCC(=NO)C1,-0.2369
C1COCC1=NO,-0.2485
CC(=NO)C1CC1,-0.2304
CC(=NO)C1CN1,-0.2316
CC(=NO)C1CO1,-0.2458
ON=C1CC2CC12,-0.23
ON=C1CC2NC12,-0.2319
ON=C1CC2OC12,-0.2513
ON=C1CN2CC12,-0.2324
C#CC(F)(F)F,-0.3166
C(#N)C(F)(F)F,-0.3831
C(=O)C(F)(F)F,-0.2957
C(C(F)(F)F)N,-0.2571
C(C(F)(F)F)O,-0.2955
CCC(F)(F)F,-0.3543
Cc1cc([nH]c1)C,-0.1894
Cc1cc(oc1)C,-0.2072
Cc1cc(c[nH]1)N,-0.1686
Cc1cc(co1)N,-0.1872
Cc1cc(c[nH]1)O,-0.1793
Cc1cc(co1)O,-0.1985
Cc1cc([nH]c1)N,-0.1791
Cc1cc([nH]c1)O,-0.1782
Cc1c[nH]c(n1)O,-0.198
Cc1cc(oc1)N,-0.1811
Cc1coc(n1)N,-0.2026
Cc1coc(n1)O,-0.2205
Cc1c[nH]c(n1)C,-0.206
Cc1coc(n1)C,-0.2274
Cc1nc(co1)N,-0.1971
Cc1[nH]cc(n1)O,-0.1921
Cc1nc(co1)O,-0.2136
c1c(c[nH]c1N)N,-0.1637
c1c(coc1N)N,-0.1699
c1c(c[nH]c1N)O,-0.174
c1c(coc1N)O,-0.1779
c1c(c[nH]c1O)N,-0.1633
c1c(nc([nH]1)O)N,-0.1739
c1c(nc(o1)O)N,-0.195
c1c(nc(o1)N)N,-0.182
c1c(nc([nH]1)N)O,-0.1786
c1c(nc(o1)N)O,-0.1945
c1c(c[nH]c1O)O,-0.1714
c1c(nc([nH]1)O)O,-0.1866
Cc1ccc([nH]1)C,-0.1849
Cc1ccc(o1)C,-0.2015
Cc1ccc([nH]1)N,-0.1766
Cc1ccc(o1)N,-0.1764
Cc1ccc([nH]1)O,-0.1738
Cc1cnc(o1)C,-0.2243
Cc1cnc(o1)N,-0.1993
